Python 2.7.9 (default, Sep 17 2016, 20:26:04) 
[GCC 4.9.2] on linux2
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
(29.5, 85.1)
(29.5, 85.1)
(29.562, 85.2116)
(29.5, 85.1)
(29.875, 85.775)
(30.687, 87.2366)
(31.687, 89.03659999999999)
(32.625, 90.725)
(33.437, 92.1866)
(34.25, 93.65)
(35.0, 95.0)
(35.75, 96.35)
(36.312, 97.3616)
(36.937, 98.4866)
(37.5, 99.5)
(38.0, 100.4)
(38.5, 101.3)
(38.937, 102.0866)
(39.375, 102.875)
(39.75, 103.55)
(40.125, 104.225)
(40.437, 104.78659999999999)
(40.75, 105.35)
(41.0, 105.8)
(41.312, 106.3616)
(41.562, 106.8116)
(41.812, 107.2616)
(42.062, 107.7116)
(42.25, 108.05)
(42.437, 108.3866)
(42.625, 108.725)
(42.812, 109.0616)
(43.0, 109.4)
(43.187, 109.7366)
(43.312, 109.9616)
(43.437, 110.1866)
(43.625, 110.525)
(43.687, 110.6366)
(43.875, 110.975)
(43.937, 111.0866)
(44.062, 111.3116)
(44.187, 111.53659999999999)
(44.25, 111.65)
(44.375, 111.875)
(44.437, 111.9866)
(44.562, 112.2116)
(44.625, 112.325)
(44.687, 112.4366)
(44.812, 112.66159999999999)
(44.875, 112.775)
(44.937, 112.8866)
(45.0, 113.0)
(45.062, 113.1116)
(45.125, 113.225)
(45.187, 113.3366)
(45.25, 113.45)
(45.312, 113.5616)
(45.375, 113.675)
(45.437, 113.78659999999999)
(45.437, 113.78659999999999)
(45.5, 113.9)
(45.562, 114.0116)
(45.562, 114.0116)
(45.625, 114.125)
(45.625, 114.125)
(45.687, 114.2366)
(45.75, 114.35)
(45.75, 114.35)
(45.75, 114.35)
(45.812, 114.4616)
(45.812, 114.4616)
(45.875, 114.575)
(45.875, 114.575)
(45.937, 114.6866)
(45.937, 114.6866)
(45.937, 114.6866)
(45.937, 114.6866)
(46.0, 114.8)
(46.0, 114.8)
(46.0, 114.8)
(46.0, 114.8)
(46.0, 114.8)
(46.062, 114.91159999999999)
(46.062, 114.91159999999999)
(46.062, 114.91159999999999)
(46.062, 114.91159999999999)
(46.062, 114.91159999999999)
(46.062, 114.91159999999999)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.125, 115.025)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.125, 115.025)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.187, 115.1366)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.125, 115.025)
(46.062, 114.91159999999999)
(46.125, 115.025)
(46.062, 114.91159999999999)
(46.062, 114.91159999999999)
(46.062, 114.91159999999999)
(46.062, 114.91159999999999)
(46.062, 114.91159999999999)
(46.062, 114.91159999999999)
(46.062, 114.91159999999999)
(46.062, 114.91159999999999)
(46.062, 114.91159999999999)
(46.062, 114.91159999999999)
